designation,num,id,_r,Source,RA_ICRS,DE_ICRS,GMAG0,BP-RP0,mass84,teff16,teff50,teff84,logg16,logg50,logg84,met16,met50,met84,dist05,dist16,dist50,dist84,dist95,AV05,AV16,AV50,AV84,AV95,fidelity,XGal,YGal,ZGal,RGal,FlagPhoto,FlagOut,BP/RPCorr,AG50,ABP50,ARP50,,,source_id,ra,dec,l,b,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ruwe,ag_gspphot,azero_gspphot,bp_g,bp_rp,distance_gspphot,ebpminrp_gspphot,g_rp,grvs_mag,grvs_mag_error,libname_gspphot,logg_gspphot,mh_gspphot,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,radial_velocity,radial_velocity_error,ref_epoch,teff_gspphot,vbroad,vbroad_error,Separation
Gaia DR3 3326698289559794176,0,93,0.263067,3.3267E+018,100.3659609,9.66154097,10.225642,2.405985,0.35,3377.21,3387.35,3389.74,4.90605,4.9245,4.935134,-0.197761,-0.197761,-0.197761,0.364672,0.370646,0.382801,0.385167,0.38962,0.381187,0.435175,0.441094,0.444076,0.557778,1,-8.551588,-0.150688,0.014683,8.552916,GBPRPgrizy/JHKs,1001,0.02451396,0.352146,0.446315,0.264496,,,3.3267E+018,100.3659609,9.66154097,203.1995712,2.198161282,100.5065253,-13.4004714,2.326901502,23.77115208,-2.22371239,18.492657,19.902079,17.314274,0.16835773,0.14993608,0.18220387,0.20131114,0.17672512,0.96741545,0.0348,0.0544,1.4094219,2.5878048,347.6733,0.0232,1.1783829,,,MARCS,4.9573,-0.1611,149.4806978,10.419284,754.8903865,1.5867528,940.6940318,16.061415,,,2016,3274.5166,,,0.0000000921
Gaia DR3 3326698706172361984,0,94,0.265813,3.3267E+018,100.4008245,9.679192984,0.72316,-0.211034,4.256628,13237.45,13756.85,14433.94,4.369293,4.376571,4.512955,-0.504478,-0.49322,-0.454514,0.895036,1.695153,2.553571,5.227114,6.466203,2.40206,4.012023,4.071396,4.179357,4.225397,0.071289,-10.545297,-1.005173,0.099665,10.593095,GBPRPgrizy/JHKsW1W2,0,0.187325,3.612461,4.380756,2.490272,,,3.3267E+018,100.4008245,9.679192984,203.1995464,2.236797602,100.5404206,-13.38033457,1.54775974,0.003641683,0.539737361,16.37136,17.025234,15.345783,0.32675245,0.32474253,0.39670148,0.3945286,0.3528098,7.079464,,,0.65387344,1.679451,,,1.0255775,,,,,,2115.063411,11.674747,5326.012897,43.13744,5765.605003,14.756087,,,2016,,,,0.000000201
Gaia DR3 3326698804955884928,0,95,0.256125,3.3267E+018,100.4014157,9.691638311,2.555034,0.296661,2.096331,6606.99,7948.46,10821.08,4.204411,4.272604,4.383277,-0.533384,-0.276853,-0.018929,2.894637,2.976391,3.444646,5.178058,5.574823,2.980973,2.997112,3.651363,4.214847,4.324007,0.997559,-11.363936,-1.355328,0.134815,11.444473,GBPRPgrizy/JHKsW1W2,10,0.029277802,2.973834,3.747804,2.180403,,,3.3267E+018,100.4014157,9.691638311,203.1887296,2.242994422,100.5400737,-13.36788018,0.225583189,0.133963817,-0.320036338,18.214592,19.10954,17.24548,0.13530958,0.12430783,0.14962934,0.16658412,0.14604118,0.9996498,1.5872,2.0963,0.89494896,1.8640614,939.7797,0.8824,0.9691124,,,MARCS,4.7769,-2.6033,310.1702791,7.8801026,975.2364933,1.8608291,1002.228363,13.588725,,,2016,5125.2734,,,0.000000198
Gaia DR3 3326698804955886208,0,96,0.258577,3.3267E+018,100.4079068,9.693503239,4.759526,0.888162,1.183739,5775.26,5882.32,6318.13,4.285278,4.50194,4.543814,-0.3304,-0.246107,-0.0173,1.598575,1.624046,1.751745,2.614335,2.835749,2.935794,2.963385,3.050307,3.392107,3.665966,0.999023,-9.808969,-0.689273,0.068759,9.833158,GBPRPgrizy/JHKsW1W2,0,-0.019845247,2.414676,3.082127,1.810065,,,3.3267E+018,100.4079068,9.693503239,203.1899903,2.249539032,100.5464909,-13.36554789,0.583048094,0.322756463,0.796319405,18.391556,19.526257,17.366034,0.14665152,0.12958588,0.15262666,0.17823963,0.15639181,0.9709038,0.6192,0.8965,1.1347008,2.160223,929.1269,0.3419,1.0255222,,,PHOENIX,4.3663,-0.786,211.3071779,9.570387,828.5604166,1.5987517,896.9018999,11.846786,,,2016,3678.322,,,0.000000166
Gaia DR3 3326698839315628544,0,97,0.257217,3.3267E+018,100.4149873,9.701055539,1.580529,0.586136,1.87704,6354.26,6422.75,6719.92,3.628102,3.637167,3.668163,-0.028164,-0.026399,-0.001384,3.08805,4.047433,4.122251,4.126568,8.17638,2.385604,2.765076,2.774128,2.906527,3.938595,0.963867,-11.986344,-1.621769,0.1625,12.095561,GBPRPgrizy/JHKsW1W2,0,0.05210817,2.242703,2.832824,1.656351,,,3.3267E+018,100.4149873,9.701055539,203.1864512,2.259195189,100.5530712,-13.35750057,-0.019782847,-0.054493584,-0.220855006,16.898905,17.70967,15.947061,0.07873849,0.07632397,0.09267358,0.1020577,0.09057974,1.1748397,2.8481,3.5072,0.8107643,1.7626085,2071.4668,1.5656,0.9518442,,,MARCS,4.1174,-1.4817,1126.02875,9.387975,3276.30722,8.243709,3313.859622,19.314938,,,2016,7994.17,,,0.0000000815
Gaia DR3 3326698843611305216,0,98,0.258028,3.3267E+018,100.4139816,9.699139212,2.145245,0.511384,1.897531,6363.47,6457.65,8534.58,3.788934,3.82549,4.202213,-0.348148,-0.338849,-0.111122,2.322823,2.70215,3.304096,3.319229,4.067798,2.367531,2.551246,2.657547,3.53961,3.780506,0.999512,-11.234834,-1.29996,0.130147,11.309792,GBPRPgrizy/JHKsW1W2,10,0.018464327,2.157733,2.719464,1.588966,,,3.3267E+018,100.4139816,9.699139212,203.1877051,2.257438757,100.5522006,-13.35948492,0.293348629,0.318573579,-0.622961495,16.898241,17.660255,16.018373,0.07065076,0.06627848,0.08403994,0.09023086,0.07890283,1.0018257,,,0.7620144,1.641882,,,0.87986755,,,,,,1178.459006,9.047711,3278.309944,2.785421,3103.193787,13.713137,,,2016,,,,0.0000000525
Gaia DR3 3326698843611306624,0,99,0.262145,3.3267E+018,100.4151193,9.694700584,1.51027,1.125572,1.249482,4750.86,4836.46,4952.36,2.834353,2.855868,2.958891,-0.300892,-0.295633,-0.093834,2.066581,2.270468,2.314421,2.475577,3.032071,2.891157,2.894929,3.038433,3.153541,3.221649,0.999512,-10.325741,-0.91075,0.091123,10.365828,GBPRPgrizy/JHKsW1W2,0,0.005941272,2.344044,3.029688,1.791116,,,3.3267E+018,100.4151193,9.694700584,203.19217,2.256411708,100.5536873,-13.36382853,0.337677244,-1.217937722,-0.728926384,15.676526,16.935234,14.57109,0.035462804,0.03186429,0.03916777,0.042585943,0.037125755,1.0780146,3.271,4.3495,1.258708,2.3641443,1518.506,1.8053,1.1054363,,,PHOENIX,3.6181,-0.1155,2297.858321,13.230217,10100.34517,5.5143666,11768.53434,14.339298,,,2016,6577.8687,,,0.0000000112
Gaia DR3 3326698981049929600,0,100,0.247881,3.3267E+018,100.3286855,9.662200221,5.846521,0.984762,0.804335,5109.03,5318.39,5349.21,4.604,4.609086,4.651835,-0.540039,-0.489287,-0.063557,0.609934,0.623068,0.657062,0.682668,0.690581,0.261987,0.388602,0.570722,0.670707,0.677098,1,-8.803577,-0.258472,0.024831,8.807371,GBPRPgrizy/JHKsW1W2,2000,-0.001162648,0.479877,0.59322,0.346188,,,3.3267E+018,100.3286855,9.662200221,203.1822011,2.165765792,100.4688022,-13.40251285,1.507679248,-9.263948458,-8.882048561,15.41443,15.952982,14.721188,0.02965791,0.026507633,0.032678906,0.037502557,0.030192716,0.9657826,0.004,0.0052,0.5385523,1.2317944,647.3403,0.0021,0.6932421,,,PHOENIX,4.5406,-0.1469,5678.374675,21.877476,12858.03949,4.579083,10249.03709,16.459812,,,2016,4702.6562,,,0.000000173
Gaia DR3 3326699011114616960,0,101,0.256447,3.3267E+018,100.3541013,9.663203372,0.590921,0.813299,1.490406,4811.63,4969.44,5145.26,2.520932,2.641148,2.824731,-0.590725,-0.590725,-0.398875,1.783126,3.877339,4.631577,5.709691,6.122908,5.918805,6.13007,6.386473,6.559079,6.785377,0.993652,-12.454172,-1.822703,0.176869,12.586844,GBPRPgrizy/JHKsW1W2,0,0.04679787,4.525349,6.124405,3.644459,,,3.3267E+018,100.3541013,9.663203372,203.1927515,2.188517039,100.4944136,-13.39967323,0.601593542,-0.932558762,-1.461888304,18.444914,20.394958,17.101713,0.14643379,0.130689,0.15820698,0.18408877,0.1614115,0.9771977,3.6689,5.7212,1.9500446,3.2932453,479.3564,2.0671,1.3432007,,,PHOENIX,4.1506,-0.5892,94.93662227,9.245626,788.826312,1.4902962,1144.124294,11.550678,,,2016,4014.9543,,,0.000000142
Gaia DR3 3326699152848623232,0,102,0.242245,3.3267E+018,100.3126308,9.663025869,10.079601,2.308899,0.344,3430.84,3430.84,3431.33,4.915,4.915,4.922091,-0.296653,-0.296653,-0.296653,0.240181,0.240569,0.241657,0.241974,0.252971,0.201254,0.343421,0.368033,0.409785,0.424946,1,-8.422001,-0.095032,0.009075,8.422537,GBPRPgrizy/JHKsW1W2,1001,0.04195571,0.294849,0.373028,0.220923,,,3.3267E+018,100.3126308,9.663025869,203.1742365,2.152060728,100.4525138,-13.4028489,3.927296591,-29.97128862,-16.51404415,17.290443,18.592323,16.131319,0.08094698,0.078903414,0.101773724,0.10321934,0.08169902,1.0403168,0.3978,0.6045,1.3018799,2.4610043,248.0378,0.2479,1.1591244,,,MARCS,4.8743,-0.3161,499.4447049,16.250572,2284.383447,2.472933,2796.600816,18.217115,,,2016,3466.919,,,0.000000123
