designation,num,id,ra,RA_ICRS,dec,DE_ICRS,GMAG0,BP-RP0,ecl_lon,ecl_lat,parallax,pmra,pmdec,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,radial_velocity,radial_velocity_error,ref_epoch,teff_gspphot,vbroad,vbroad_error,_r,mass16,mass50,mass84,teff16,teff50,teff84,logg16,logg50,logg84,met16,met50,met84,dist05,dist16,dist50,dist84,dist95,AV05,AV16,AV50,AV84,AV95,fidelity,XGal,YGal,ZGal,RGal,BP/RPCorr,AG50,ABP50,ARP50,Separation,AB50-AR50,GMAG0-desc,BP-RP0-desc
Gaia DR3 6490573544291074304,1,0,348.3171842,348.305087,-60.58422894,-60.58791745,5.665417,0.936648,317.6938945,-49.43237176,3.459966308,39.64006287,-23.18514203,0.020562543,0.02593456,0.029630782,0.024044143,0.033463933,,,2016,,,,0.0069,0.616022,0.73608,0.804334,5065.45,5426.55,5513.28,4.50686,4.554503,4.673439,-0.957541,-0.608562,-0.261564,1.67094,1.729794,2.325478,2.687733,2.912877,0.006007,0.016111,0.139201,0.217471,0.396011,0.596191,-7.079051,-0.85766,-1.848172,7.130816,0.044034243,0.118978,0.145864,0.084876,25.17475375,0.060988,5.665417,0.936648
Gaia DR3 6393742067789521152,1,1,347.3660905,347.3660905,-63.65354659,-63.65354659,2.298963,0.163139,314.1872095,-51.58853318,4.104261638,62.14304463,-41.23637541,0.011364562,0.011660827,0.015324083,0.013547839,0.014173762,,,2016,8015.518555,,,0.000331,1.50611,1.627841,1.678415,8257.15,8463.82,8765.34,4.302343,4.336446,4.356934,-0.507953,-0.206824,-0.098687,0.238775,0.239599,0.241588,0.243477,0.24453,0.055381,0.071516,0.153056,0.233637,0.336811,1,-8.080511,-0.099592,-0.184848,8.081125,-0.00451088,0.140868,0.166887,0.094988,0.00000013,0.071899,3.825913,0.894731
Gaia DR3 2382427228199293824,1,2,345.707633,345.707633,-26.92170842,-26.92170842,1.718596,0.234519,336.1460494,-19.138567,2.030447397,20.57543955,1.122409673,0.02006233,0.019751903,0.027087007,0.022440434,0.020220287,,,2016,7837.752,,,0.000092,1.638523,1.747179,1.846456,7614.19,7975.96,8220.37,4.022924,4.044944,4.088483,-0.430279,-0.214737,0.201987,0.471983,0.478068,0.481646,0.493334,0.499673,-0.154918,-0.054345,0.120227,0.206214,0.211842,1,-8.024724,0.089888,-0.439524,8.025228,-0.007592678,0.109567,0.130381,0.07444,0.00015,0.055941,3.278831,0.67326
Gaia DR3 6540158877300621696,1,3,345.4445206,345.4445206,-44.84100289,-44.84100289,2.361751,0.457022,327.1004739,-35.1746679,10.01288468,-90.52645992,-45.73022533,0.010657807,0.021040618,0.022876173,0.013040161,0.02624392,51.00457,0.27650777,2016,6804.58,11.08844,1.7410902,0.000451,1.439,1.446222,1.683112,6975.9,6975.9,7470.94,4.009,4.010545,4.102481,-0.237356,-0.234853,0.080627,0.099206,0.099489,0.099674,0.099825,0.099976,0.097072,0.102158,0.130382,0.392607,0.419992,1,-8.154234,-0.010799,-0.087885,8.154241,0.001974583,0.116008,0.139573,0.080259,0.000051,0.059314,2.885473,0.633547
Gaia DR3 1932476489951202432,1,4,340.4758944,340.4758944,40.51083178,40.51083178,2.185573,0.091031,2.019758648,44.19157183,1.787687838,-1.517550505,-4.948335962,0.019157648,0.023791527,0.03363201,0.02562108,0.032846157,-3.1652195,10.705,2016,9221.556,67.416916,124.22249,0.000023,1.486825,1.676742,1.751962,7783.29,8634.55,9251.72,4.243989,4.320208,4.379519,-0.521083,-0.219938,-0.102625,0.526714,0.535855,0.547682,0.563969,0.572701,0.139819,0.15492,0.490733,0.645466,0.741284,1,-8.272122,0.52157,-0.150727,8.288548,-0.000765,0.448279,0.533165,0.303777,0.000072,0.229388,2.866597,0.626589
Gaia DR3 2401638960512043264,1,5,338.3013759,338.3013759,-20.03935739,-20.03935739,2.688228,0.493744,332.4697641,-10.14998839,4.714879438,4.684710117,12.11754642,0.013616322,0.014748441,0.018824188,0.016623583,0.018043887,9.180768,0.52210975,2016,6414.073,6.749523,4.37835,0.000058,1.443919,1.454061,1.501426,6537.3,6841.43,6998.86,4.085761,4.123259,4.156988,-0.124633,0.067591,0.190295,0.208379,0.209523,0.210793,0.212462,0.213955,-0.004224,0.081094,0.23795,0.289809,0.365317,1,-8.111198,0.069529,-0.178084,8.111497,0.000597,0.210287,0.253835,0.146196,0.0000558,0.107639,2.819553,0.577909
Gaia DR3 2173914571812599680,1,6,327.0671362,327.0671362,54.3875213,54.3875213,1.937967,0.146534,3.855200275,60.67008551,7.625063717,35.64953815,30.80150423,0.018050652,0.018807584,0.020541271,0.025815869,0.025224596,-11.78762913,0.216706425,2016,7584.52002,69.81506348,1.775262475,0.000209,1.688098,1.822449,1.835055,7845.39,8372.26,8813.58,4.177658,4.235268,4.244843,-0.116708,-0.089573,0.112347,0.129741,0.130101,0.130148,0.130973,0.131321,0.09834,0.152316,0.346297,0.473233,0.476787,1,-8.218697,0.128792,0.001217,8.219706,-0.00066,0.316039,0.375961,0.214381,7.92E-08,0.16158,2.771185,0.568687
Gaia DR3 6786140038118162816,1,7,321.5162325,321.5162325,-29.93021046,-29.93021046,1.84074,0.252309,314.3785051,-14.07854562,4.16067848,22.30485101,-38.27306473,0.448891759,0.357892871,0.608689368,0.586616814,0.436654627,,,2016,7268.45459,,,0.000197,1.479849,1.786355,2.091138,7367.16,7717.59,8104.46,3.872547,3.991492,4.144452,-0.142647,0.084493,0.19031,0.156094,0.190642,0.219467,0.300069,0.321797,-0.046477,0.113539,0.282083,0.457518,0.598204,0.666016,-8.05181,0.044418,-0.155669,8.051933,0.03342104,0.25419,0.304109,0.17411,0.000000122,0.129999,2.722212,0.559936
Gaia DR3 6861716894000051072,1,8,309.5408637,309.5408637,-17.50178747,-17.50178747,2.048261,0.336373,307.3903133,0.953103393,3.080756792,3.561215672,3.235269433,0.015346823,0.010802045,0.017800704,0.017429104,0.012263459,,,2016,7499.855957,,,0.000021,1.670214,1.731119,1.804364,7505.61,7771.97,7955.97,4.104403,4.134591,4.163064,-0.11044,0.089227,0.28733,0.317229,0.319331,0.321473,0.323389,0.324891,0.011502,0.017786,0.124731,0.224475,0.346394,1,-7.957424,0.129399,-0.166607,7.958476,-0.006295562,0.113123,0.13491,0.077137,0.000000143,0.057773,2.688228,0.514914
Gaia DR3 6860869651574027648,1,9,307.388438,307.388438,-18.22005316,-18.22005316,2.381899,0.169605,305.2273882,0.764117706,3.461731731,6.716596201,1.776003772,0.016859898,0.010963234,0.019136207,0.020418376,0.01381638,-14.292047,3.807645,2016,8261.8,147.88402,15.271997,0.000031,1.426248,1.540292,1.648221,7833.9,8162.7,8577.76,4.250007,4.298474,4.325187,-0.514929,-0.282775,-0.092779,0.282492,0.283506,0.284646,0.289104,0.291119,0.05191,0.146121,0.299234,0.421002,0.588775,1,-7.978313,0.110199,-0.140481,7.979075,0.002744556,0.272241,0.324293,0.185123,0.0000215,0.13917,2.678404,0.505329
