All Four,Linear - Polynomial - Lasso,Linear - Polynomial - Elastic Net,Polynomial - Lasso - Elastic Net,Linear - Lasso - Elastic Net,Linear - Polynomial,Linear - Lasso,Linear - Elastic,Polynomial - Lasso,Polynomial - Elastic Net,Lasso - Elastic Net,Linear,Polynomial,Lasso,Elastic Net
108.0,108.0,108.0,99.0,108.0,108.0,108.0,108.0,99.0,99.0,107.0,108.0,99.0,107.0,107.0
116.0,116.0,116.0,107.0,116.0,116.0,116.0,116.0,107.0,107.0,108.0,116.0,107.0,108.0,108.0
117.0,117.0,117.0,108.0,117.0,117.0,117.0,117.0,108.0,108.0,116.0,117.0,108.0,116.0,116.0
126.0,126.0,126.0,117.0,126.0,126.0,126.0,126.0,117.0,117.0,117.0,126.0,117.0,117.0,117.0
132.0,132.0,132.0,126.0,132.0,132.0,132.0,132.0,126.0,126.0,122.0,132.0,126.0,122.0,122.0
141.0,141.0,141.0,132.0,141.0,141.0,141.0,141.0,132.0,132.0,126.0,141.0,132.0,126.0,126.0
143.0,143.0,143.0,141.0,143.0,143.0,143.0,143.0,141.0,141.0,132.0,143.0,141.0,132.0,132.0
153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,141.0,153.0,153.0,141.0,141.0
208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,153.0,208.0,208.0,153.0,153.0
215.0,215.0,215.0,298.0,215.0,215.0,215.0,215.0,298.0,298.0,208.0,215.0,298.0,208.0,208.0
242.0,242.0,242.0,316.0,242.0,242.0,242.0,242.0,316.0,316.0,215.0,242.0,316.0,215.0,215.0
298.0,298.0,298.0,317.0,298.0,298.0,298.0,298.0,317.0,317.0,264.0,298.0,317.0,264.0,264.0
317.0,317.0,317.0,319.0,317.0,317.0,317.0,317.0,319.0,319.0,284.0,317.0,319.0,284.0,284.0
319.0,319.0,319.0,336.0,319.0,319.0,319.0,319.0,336.0,336.0,316.0,319.0,336.0,316.0,316.0
336.0,336.0,336.0,356.0,336.0,336.0,336.0,336.0,356.0,356.0,317.0,336.0,356.0,317.0,317.0
368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,319.0,368.0,368.0,319.0,319.0
369.0,369.0,369.0,388.0,369.0,369.0,369.0,369.0,388.0,388.0,336.0,369.0,388.0,336.0,336.0
388.0,388.0,388.0,398.0,388.0,388.0,388.0,388.0,398.0,398.0,356.0,388.0,398.0,356.0,356.0
