designation,num,id,ra,RA_ICRS,dec,DE_ICRS,GMAG0,BP-RP0,ecl_lon,ecl_lat,parallax,pmra,pmdec,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,radial_velocity,radial_velocity_error,ref_epoch,teff_gspphot,vbroad,vbroad_error,_r,mass16,mass50,mass84,teff16,teff50,teff84,logg16,logg50,logg84,met16,met50,met84,dist05,dist16,dist50,dist84,dist95,AV05,AV16,AV50,AV84,AV95,fidelity,XGal,YGal,ZGal,RGal,BP/RPCorr,AG50,ABP50,ARP50,Separation,AB50-AR50,GMAG0-desc,BP-RP0-desc,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error_x,dec_x,dec_error_x,parallax_x,parallax_error_x,parallax_over_error,pm,pmra_x,pmra_error_x,pmdec_x,pmdec_error_x,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
Gaia DR3 6490573544291074304,1,0,348.3171842,348.305087,-60.58422894,-60.58791745,5.665417,0.936648,317.6938945,-49.43237176,3.459966308,39.64006287,-23.18514203,0.020562543,0.02593456,0.029630782,0.024044143,0.033463933,,,2016,,,,0.0069,0.616022,0.73608,0.804334,5065.45,5426.55,5513.28,4.50686,4.554503,4.673439,-0.957541,-0.608562,-0.261564,1.67094,1.729794,2.325478,2.687733,2.912877,0.006007,0.016111,0.139201,0.217471,0.396011,0.596191,-7.079051,-0.85766,-1.848172,7.130816,0.044034243,0.118978,0.145864,0.084876,25.17475375,0.060988,5.665417,0.936648,348.31682549,-60.58412589057,5.764E-4,3.377E-4,155.32,6490573544291074304,348.31718419877,0.0206,-60.58422893613,0.0259,3.46,0.0296,116.7693,45.923,39.64,0.024,-23.185,0.033,371,0.3707,2934.79,0.244,80.44,95,1.6661,0.0063,26,1.013,false,4489610.0,3230.9,9.056846,4516270.0,44749.6,8.701593,3540750.0,8.375157,1.795,0.326436,,,0,,,,,489280338,,0.002864,0.011114,0.008896,9.056846,0.002864,4489610.0,0.626,0.39,0.5424,-0.3913,0.734771
Gaia DR3 2382427228199293824,1,2,345.707633,345.707633,-26.92170842,-26.92170842,1.718596,0.234519,336.1460494,-19.138567,2.030447397,20.57543955,1.122409673,0.02006233,0.019751903,0.027087007,0.022440434,0.020220287,,,2016,7837.752,,,9.2E-5,1.638523,1.747179,1.846456,7614.19,7975.96,8220.37,4.022924,4.044944,4.088483,-0.430279,-0.214737,0.201987,0.471983,0.478068,0.481646,0.493334,0.499673,-0.154918,-0.054345,0.120227,0.206214,0.211842,1.0,-8.024724,0.089888,-0.439524,8.025228,-0.007592678,0.109567,0.130381,0.07444,1.5E-4,0.055941,3.278831,0.67326,345.70753039202,-26.92171340442,4.058E-4,2.749E-4,54.17,2382427228199293824,345.70763295341,0.0201,-26.92170841597,0.0198,2.0304,0.0271,74.9602,20.606,20.575,0.022,1.122,0.02,254,4.0894,1166.35,0.152,27.29,31,,,16,1.187,false,1507390.0,588.121,10.241803,993786.0,541.552,10.34531,753734.0,10.05485,1.159,0.290461,,,0,,,,,2601492,,0.002788,0.002852,0.003803,10.241803,0.002788,1507390.0,-0.008,0.3663,0.3257,0.3544,0.329845
Gaia DR3 1932476489951202432,1,4,340.4758944,340.4758944,40.51083178,40.51083178,2.185573,0.091031,2.019758648,44.19157183,1.787687838,-1.517550505,-4.948335962,0.019157648,0.023791527,0.03363201,0.02562108,0.032846157,-3.1652195,10.705,2016,9221.556,67.416916,124.22249,2.3E-5,1.486825,1.676742,1.751962,7783.29,8634.55,9251.72,4.243989,4.320208,4.379519,-0.521083,-0.219938,-0.102625,0.526714,0.535855,0.547682,0.563969,0.572701,0.139819,0.15492,0.490733,0.645466,0.741284,1.0,-8.272122,0.52157,-0.150727,8.288548,-7.65E-4,0.448279,0.533165,0.303777,7.2E-5,0.229388,2.866597,0.626589,340.4759032976,40.51085377209,5.521E-4,3.76E-4,154.61,1932476489951202432,340.47589442634,0.0192,40.51083177948,0.0238,1.7877,0.0336,53.1544,5.176,-1.518,0.026,-4.948,0.033,504,14.642,6459.53,0.291,163.0,95,1.6678,0.0054,23,1.497,false,555072.0,248.081,11.326493,364212.0,249.432,11.435156,283964.0,11.114737,1.168,0.320419,,,0,,,,,,653527321,0.002798,0.002888,0.003819,11.326493,0.002798,555072.0,-0.001,0.414,0.5242,-0.2918,0.082832
Gaia DR3 2401638960512043264,1,5,338.3013759,338.3013759,-20.03935739,-20.03935739,2.688228,0.493744,332.4697641,-10.14998839,4.714879438,4.684710117,12.11754642,0.013616322,0.014748441,0.018824188,0.016623583,0.018043887,9.180768,0.52210975,2016,6414.073,6.749523,4.37835,5.8E-5,1.443919,1.454061,1.501426,6537.3,6841.43,6998.86,4.085761,4.123259,4.156988,-0.124633,0.067591,0.190295,0.208379,0.209523,0.210793,0.212462,0.213955,-0.004224,0.081094,0.23795,0.289809,0.365317,1.0,-8.111198,0.069529,-0.178084,8.111497,5.97E-4,0.210287,0.253835,0.146196,5.58E-5,0.107639,2.819553,0.577909,338.30135372077,-20.03941124606,3.571E-4,1.76E-4,40.24,2401638960512043264,338.3013758835,0.0136,-20.0393573903,0.0147,4.7149,0.0188,250.4692,12.992,4.685,0.017,12.118,0.018,324,-0.3213,689.14,0.098,12.8,31,,,16,0.986,false,2936480.0,528.69,9.517798,1732770.0,830.098,9.741687,1749990.0,9.140304,1.186,0.601383,,,0,,,,,5770608,,0.002762,0.002838,0.003792,9.517798,0.002762,2936480.0,0.001,0.267,0.2954,0.604,0.207887
Gaia DR3 2173914571812599680,1,6,327.0671362,327.0671362,54.3875213,54.3875213,1.937967,0.146534,3.855200275,60.67008551,7.625063717,35.64953815,30.80150423,0.018050652,0.018807584,0.020541271,0.025815869,0.025224596,-11.78762913,0.216706425,2016,7584.52002,69.81506348,1.775262475,2.09E-4,1.688098,1.822449,1.835055,7845.39,8372.26,8813.58,4.177658,4.235268,4.244843,-0.116708,-0.089573,0.112347,0.129741,0.130101,0.130148,0.130973,0.131321,0.09834,0.152316,0.346297,0.473233,0.476787,1.0,-8.218697,0.128792,0.001217,8.219706,-6.6E-4,0.316039,0.375961,0.214381,7.92E-8,0.16158,2.771185,0.568687,327.06686407788,54.3873843996,4.472E-4,3.782E-4,130.67,2173914571812599680,327.06713617448,0.0181,54.38752129548,0.0188,7.6251,0.0205,371.207,47.113,35.65,0.026,30.802,0.025,337,-1.0368,940.74,0.163,16.68,31,,,26,0.959,true,1.39466E7,3650.91,7.826195,9192040.0,5050.74,7.930013,7085970.0,7.621898,1.167,0.308115,,,0,,,,,,722398578,0.00277,0.002853,0.003796,7.826195,0.00277,1.39466E7,-0.001,0.4193,0.4089,-0.1641,0.753857
Gaia DR3 6786140038118162816,1,7,321.5162325,321.5162325,-29.93021046,-29.93021046,1.84074,0.252309,314.3785051,-14.07854562,4.16067848,22.30485101,-38.27306473,0.448891759,0.357892871,0.608689368,0.586616814,0.436654627,,,2016,7268.45459,,,1.97E-4,1.479849,1.786355,2.091138,7367.16,7717.59,8104.46,3.872547,3.991492,4.144452,-0.142647,0.084493,0.19031,0.156094,0.190642,0.219467,0.300069,0.321797,-0.046477,0.113539,0.282083,0.457518,0.598204,0.666016,-8.05181,0.044418,-0.155669,8.051933,0.03342104,0.25419,0.304109,0.17411,1.22E-7,0.129999,2.722212,0.559936,321.51611812914,-29.93004036013,0.0108515,0.0050129,57.97,6786140038118162816,321.51623251714,0.4489,-29.93021046269,0.3579,4.1607,0.6087,6.8355,44.298,22.305,0.587,-38.273,0.437,262,220.4234,312016.62,3.626,13650.0,31,,,16,20.461,false,5678520.0,11469.8,8.801779,3749840.0,3070.86,8.903511,3095120.0,8.521203,1.205,0.382308,,,0,,,,,753231,,0.003522,0.002928,0.003809,8.801779,0.003522,5678520.0,0.033,9.5761,7.1542,0.6079,0.708737
Gaia DR3 6861716894000051072,1,8,309.5408637,309.5408637,-17.50178747,-17.50178747,2.048261,0.336373,307.3903133,0.953103393,3.080756792,3.561215672,3.235269433,0.015346823,0.010802045,0.017800704,0.017429104,0.012263459,,,2016,7499.855957,,,2.1E-5,1.670214,1.731119,1.804364,7505.61,7771.97,7955.97,4.104403,4.134591,4.163064,-0.11044,0.089227,0.28733,0.317229,0.319331,0.321473,0.323389,0.324891,0.011502,0.017786,0.124731,0.224475,0.346394,1.0,-7.957424,0.129399,-0.166607,7.958476,-0.006295562,0.113123,0.13491,0.077137,1.43E-7,0.057773,2.688228,0.514914,309.54084710971,-17.50180185113,2.905E-4,1.867E-4,72.44,6861716894000051072,309.5408637056,0.0153,-17.50178747216,0.0108,3.0808,0.0178,173.0694,4.811,3.561,0.017,3.235,0.012,255,-2.568,520.94,0.085,8.134,31,,,17,0.886,false,2489450.0,771.577,9.697109,1582850.0,2001.78,9.83994,1320810.0,9.445794,1.166,0.394146,,,0,,,86993095410368058,,298160207,,0.002776,0.00311,0.003865,9.697109,0.002776,2489450.0,-0.006,0.2826,0.1984,0.2541,0.076973
Gaia DR3 6860869651574027648,1,9,307.388438,307.388438,-18.22005316,-18.22005316,2.381899,0.169605,305.2273882,0.764117706,3.461731731,6.716596201,1.776003772,0.016859898,0.010963234,0.019136207,0.020418376,0.01381638,-14.292047,3.807645,2016,8261.8,147.88402,15.271997,3.1E-5,1.426248,1.540292,1.648221,7833.9,8162.7,8577.76,4.250007,4.298474,4.325187,-0.514929,-0.282775,-0.092779,0.282492,0.283506,0.284646,0.289104,0.291119,0.05191,0.146121,0.299234,0.421002,0.588775,1.0,-7.978313,0.110199,-0.140481,7.979075,0.002744556,0.272241,0.324293,0.185123,2.15E-5,0.13917,2.678404,0.505329,307.38840657828,-18.22006105045,3.471E-4,1.908E-4,67.87,6860869651574027648,307.3884380055,0.0169,-18.2200531571,0.011,3.4617,0.0191,180.8996,6.947,6.717,0.02,1.776,0.014,407,-0.1004,1204.43,0.114,21.55,31,,,18,0.996,true,2016880.0,553.708,9.925669,1332870.0,908.315,10.026571,1028110.0,9.717795,1.171,0.308776,,,0,,,,,298084470,,0.002771,0.002887,0.003813,9.925669,0.002771,2016880.0,0.003,0.3295,0.2198,0.4051,0.111138
Gaia DR3 6475174441563986304,1,10,306.0491988,306.0491988,-51.72367967,-51.72367967,1.41797,0.318728,295.2829857,-31.40150503,2.878349195,15.01114975,1.450732544,0.048114188,0.03861928,0.06503882,0.050665103,0.053749803,,,2016,7388.8364,,,6.7E-5,1.589577,1.932718,2.098,7423.6,7530.09,8129.38,3.811727,3.88264,3.943387,-0.523279,0.080049,0.386242,0.331065,0.337431,0.34392,0.349886,0.361106,-0.03197,-0.03056,0.08237,0.319536,0.410901,1.0,-7.925802,-0.063109,-0.197773,7.926054,-8.44E-4,0.074387,0.088881,0.050892,6.96E-5,0.037989,2.58697,0.501131,306.0490910673,-51.72368611596,9.251E-4,7.424E-4,37.62,6475174441563986304,306.04919876886,0.0481,-51.72367966831,0.0386,2.8783,0.065,44.2559,15.081,15.011,0.051,1.451,0.054,262,43.9342,8482.59,0.434,241.8,31,,,18,3.468,false,4027990.0,1154.98,9.174645,2608520.0,2338.27,9.297558,2102920.0,8.940841,1.17,0.356717,,,0,,,,,481825201,,0.002773,0.002955,0.00387,9.174645,0.002773,4027990.0,-0.001,0.8153,0.8616,0.2098,0.241366
Gaia DR3 6422751440841970688,1,11,305.6521782,305.6521782,-70.18344995,-70.18344995,1.908496,0.07838,287.4930737,-48.90111633,0.835608831,11.63405633,-3.46041133,0.009389541,0.012556505,0.015204585,0.012034402,0.01543237,,,2016,9019.99707,,,5.4E-5,1.685531,1.799006,1.893915,8439.61,8811.11,9671.17,4.213274,4.272796,4.32741,-0.403822,-0.209034,-7.62E-4,1.090756,1.106198,1.143947,1.173044,1.197338,2.08E-4,0.096865,0.185782,0.376379,0.431068,1.0,-7.416458,-0.552043,-0.624441,7.436975,-0.011704922,0.172099,0.203303,0.115474,1.4E-7,0.087829,2.553139,0.493744,305.65202566878,-70.18343456699,2.523E-4,1.873E-4,166.63,6422751440841970688,305.65217819209,0.0094,-70.18344994666,0.0126,0.8356,0.0152,54.9577,12.138,11.634,0.012,-3.46,0.015,538,1.3422,1712.01,0.133,29.17,31,,,30,1.041,false,211786.0,69.3915,12.372625,145175.0,109.939,12.433815,98201.0,12.267606,1.149,0.166209,,,0,,,,,484303481,,0.002778,0.002909,0.003824,12.372625,0.002778,211786.0,-0.012,0.1914,0.2492,-0.1347,0.194217
