SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,bp_g,g_rp,l,b,RA_ICRS,DE_ICRS,mass16,mass50,mass84,teff16,teff50,teff84,logg16,logg50,logg84,met16,met50,met84,dist05,dist16,dist50,dist84,dist95,AV05,AV16,AV50,AV84,AV95,fidelity,XGal,YGal,ZGal,RGal,FlagPhoto,FlagOut,BP_RPCorr,AG50,ABP50,ARP50,GMAG0,BP-RP0,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
2749164894942350976,6.379101591271688,8.93609623400924,0.9888239112783768,-5.3019513646680485,-2.5932918779068412,914.6317961055037,1.2612553,18.28425,349.7708305762336,10.788588,18.979084,815.1221953647679,16.890604,17.46984,1.5092449,0.69483376,0.81441116,112.15619536286843,-53.39244698532598,6.3791015913,8.936096234,0.566806,0.655726,0.672943,4590.46,4621.27,4635.47,4.631543,4.640143,4.722795,-0.829616,-0.254401,-0.230565,1.263305,1.270313,1.611867,1.651271,1.665375,0.396046,0.56643,0.578515,0.670726,0.685931,0.770508,-8.562502,0.89023,-1.293909,8.608655,GBPRPgrizy/JHKs,0,0.0023306608,0.477036,0.595248,0.349305,6.770567,1.263302,0.00149720413143721,0.03348924238153782,0.02249814863111911
2749164899237967872,6.377216713420046,8.935808645876337,2.6625509696536307,29.778203222931797,1.8148587553989568,50949.08602526695,13.232715,13.919526,21500.741013072355,21.281357,14.507409,42112.70273591242,30.415861,13.186863,1.3205462,0.587883,0.73266315,112.15303631742616,-53.39241678018104,6.3772167134,8.9358086459,0.841303,0.896,0.898574,5032.69,5388.79,5411.21,4.485,4.50797,4.527,-0.050958,0.055107,0.101404,0.353453,0.354083,0.378932,0.380074,0.380217,0.362863,0.542654,0.897095,0.914474,0.926546,1.0,-8.285209,0.209288,-0.304183,8.287851,GBPRPgy/JHKsW1W2,0,-0.0009273291,0.74814,0.928831,0.542554,5.278582,0.934269,0.0002819920533782856,0.0010746578251697796,0.0007841719833221539
2749165792591164416,6.352378811511751,8.968271880879467,0.4260672671712358,0.4939341546035251,-20.557023909358087,1293.732383114238,1.5217069,17.907755,570.8362305871376,7.789063,18.447264,1023.0790075378794,7.312695,17.223122,1.2241421,0.5395088,0.68463326,112.12168165694221,-53.356278960637006,6.3523788115,8.9682718809,0.663231,0.677111,0.765034,4941.51,4953.08,4979.1,4.553414,4.610054,4.615505,-0.505524,-0.463639,0.006366,1.844551,1.848107,1.876017,2.206736,2.53192,0.172586,0.262362,0.306991,0.31267,0.377788,0.999512,-8.621642,1.037253,-1.505245,8.683813,GBPRPgrizy/JHW1W2,1,-0.007032752,0.257648,0.318686,0.186291,6.283922,1.091747,0.0012770587936034444,0.014814875479075432,0.007760551908519858
2749353809079475840,6.310668337919248,9.000923388682057,1.2668487821153709,7.713902681804439,3.9387044413389476,8633.73623768314,3.225202,15.846869,3687.6002545904153,11.8793335,16.421682,7029.958812793768,8.668036,15.130513,1.2911692,0.5748129,0.7163563,112.0629487370747,-53.31711849199851,6.3106683379,9.0009233887,0.748261,0.79923,0.849308,4826.88,4922.59,5062.69,4.570291,4.617208,4.624425,-0.232743,0.043155,0.289873,0.731347,0.758972,0.789858,0.829575,0.88433,0.030776,0.123736,0.254712,0.414958,0.493863,1.0,-8.377238,0.437297,-0.63343,8.388644,GBPRPgrizy/JHKsW1W2,0,-0.0049051046,0.213936,0.264506,0.154621,6.145188,1.181285,0.00040558555107680086,0.0034976194746297196,0.0013387277593447245
2749353809079696640,6.298284000755378,8.997133110078924,5.794332921580813,34.09673919202934,-37.201251694903625,53000.66222144063,90.917305,13.876663,19536.764225755367,26.93268,14.611411,52470.97972704825,50.915974,12.948097,1.6633139,0.7347479,0.928566,112.04169182755282,-53.318773210809496,6.2982840008,8.9971331101,0.586531,0.587972,0.596523,4207.52,4208.22,4217.85,4.676575,4.68,4.68,-0.378803,-0.32488,-0.310505,0.164575,0.165381,0.16787,0.170147,0.170881,0.163174,0.16457,0.168884,0.217879,0.234079,1.0,-8.237633,0.09295,-0.134627,8.238157,GBPRPg/JHKsW1W2,1001,0.071161866,0.139338,0.173743,0.102131,7.612439,1.591702,0.0018624712509658524,0.0014967568615977184,0.0010535598209593163
2749353843439216512,6.260738783979711,8.974917593546687,0.39643739152823515,-16.32331207231112,-19.421930087225093,2731.1026986911315,1.9918758,17.096521,1315.7060918722239,8.114343,17.540646,2014.7720844567414,11.444079,16.487331,1.0533142,0.44412422,0.60919,111.97416076185728,-53.33433013848696,6.260738784,8.9749175936,0.741488,0.838174,0.843936,5361.29,5668.34,5685.45,4.439431,4.498878,4.568056,-0.667519,-0.286259,-0.081465,1.628441,1.740944,2.017147,2.154883,2.205167,0.186778,0.238678,0.512603,0.524651,0.531688,1.0,-8.650721,1.117023,-1.618021,8.72254,GBPRPgrizy/JHKsW1W2,0,-0.0023958683,0.435842,0.535901,0.311811,5.136992,0.829224,0.0007918602392422738,0.006696051413187173,0.0061670753876309995
2749354629417784960,6.199728260872455,9.016453439287462,1.0434769105087447,26.550437698605013,-6.055876320719453,1963.1481964005825,1.5532763,17.454985,728.094908902622,8.475249,18.183073,1731.566749017524,8.005901,16.651798,1.5312748,0.7280884,0.8031864,111.88676341950257,-53.28305094051935,6.1997282609,9.0164534393,0.637,0.7,0.7,4499.12,4513.54,4659.72,4.623,4.631495,4.661,-0.326904,-0.053254,-0.025579,1.044375,1.083482,1.175938,1.226969,1.271257,0.274915,0.277715,0.29841,0.458878,0.564468,1.0,-8.462078,0.652375,-0.94263,8.487187,GBPRPgrizy/JHKsW1W2,0,-0.021023035,0.247418,0.307821,0.180581,6.855645,1.404035,0.0008590529836015589,0.012638304273928952,0.005019902893074131
2749354874231364480,6.251206238017746,9.018696072706183,0.048859979488023814,0.485444260858864,-1.5005095005061653,2681.014952990026,2.01358,17.11662,1193.8175841620882,13.110816,17.646196,2100.125439906446,10.987601,16.442282,1.2039146,0.52957726,0.6743374,111.97118704188671,-53.28958591054915,6.251206238,9.0186960727,0.791907,0.818112,0.858527,5053.24,5203.55,5334.77,2.45413,3.008328,3.229311,-1.199238,-0.983922,-0.703656,5.418516,7.488727,9.117184,17.057474,17.912174,0.376197,0.407798,0.513626,0.641411,0.65244,0.996582,-10.239059,5.054166,-7.308945,11.418534,GBPRPgrizy/JHKsW1W2,0,-0.008317709,0.431288,0.533461,0.311512,1.886028,0.981965,0.0008154437168559801,0.011923838110633621,0.005680439980720773
2749355080389794432,6.23963903391716,9.044566156956359,2.9543572802576787,12.731327097470212,-20.18221078964627,11231.914158114167,4.068376,15.561233,3582.560487926086,10.708963,16.453058,11176.753141512721,10.886387,14.627107,1.8259516,0.8918257,0.9341259,111.95978210073477,-53.26214040908258,6.2396390339,9.044566157,0.606,0.622171,0.623,4022.26,4032.63,4142.27,4.670271,4.67243,4.684114,-0.112918,-0.081647,-0.004579,0.327099,0.333088,0.341338,0.342971,0.344751,0.104169,0.104521,0.131552,0.294629,0.394517,1.0,-8.276351,0.189359,-0.273542,8.278517,GBPRPgrizy/JHKsW1W2,1001,0.0026830435,0.108096,0.135048,0.079492,7.787213,1.770396,0.00039327073955523566,0.0032454746574859146,0.0010575293392957035
2749355149109274240,6.23027379270453,9.044631389533004,0.44263626013560275,10.568542775906776,-5.015551234846336,5805.356481852934,2.6738017,16.277794,3010.584472753304,8.664715,16.641914,4008.9634076169905,11.802968,15.740315,0.90159893,0.36412048,0.53747845,111.94456837289259,-53.2604886531082,6.2302737927,9.0446313895,0.888014,0.978465,1.07093,5738.58,5813.35,6188.13,4.232752,4.373757,4.436424,-0.42575,-0.151586,0.046073,1.847049,1.942586,2.050112,2.430681,2.455214,0.136541,0.182915,0.21556,0.473372,0.529088,1.0,-8.658292,1.137479,-1.642885,8.73269,GBPRPgrizy/JHKsW1W2,0,0.0010802746,0.185711,0.226847,0.131649,4.533195,0.806401,0.0005000628774930329,0.0031248399311735236,0.0031965643997204276
2749357829168339200,6.155977898290365,9.03989206256411,3.232847371746871,-11.19775731160884,-4.893550705561254,1650.6243421796985,1.6839305,17.643246,343.55885765536067,10.239213,18.998539,1980.2805912681515,15.007853,16.506079,2.4924603,1.3552933,1.137167,111.82239440937772,-53.25248513476261,6.1559778983,9.0398920626,0.34008,0.355396,0.37644,3340.79,3347.81,3370.03,4.884942,4.895646,4.92,-0.197761,-0.093558,-0.093558,0.289856,0.290073,0.310408,0.324774,0.332234,-0.160953,-0.124425,-0.068367,0.097313,0.20651,1.0,-8.269035,0.172406,-0.248724,8.270832,GBPRPgrizy/JHKsW1W2,1,0.0023134947,-0.055345,-0.069635,-0.041206,10.238923,2.520889,0.0011076441083909627,0.03235860174624104,0.008228414168046518
2749358099751368064,6.2179462187544114,9.049416352865656,0.07660601156199316,1.8114949535371052,-4.8651723053170945,901.1562020179394,1.380711,18.300367,445.09041786183826,7.8183618,18.717422,617.3725665400208,7.621077,17.771526,0.94589615,0.41705513,0.528841,111.92589578482227,-53.25368210349184,6.2179462188,9.0494163529,0.785805,0.795766,0.849,5294.35,5381.02,5724.92,2.930651,3.100391,4.289723,-1.419385,-1.377159,-0.838084,3.046049,4.725444,15.958305,20.913862,31.997715,0.128905,0.149396,0.281177,0.517883,0.644202,0.969727,-11.765076,8.856836,-12.787267,14.726187,GBPRPgrizy/W1W2,0,-0.0329417,0.238966,0.293806,0.171141,2.046467,0.823231,0.001663516129176612,0.019071806723279017,0.013402732373461701
2749358202830588032,6.209991902218148,9.075699798544356,1.1108722252988499,-7.929957487897852,-8.668229281919402,907.5865656628177,1.3567715,18.292646,286.7829298368705,10.711197,19.194658,945.7643674601551,7.064885,17.308437,1.8862209,0.9020119,0.98420906,111.92052457762672,-53.22643897474487,6.2099919022,9.0756997985,0.55,0.614315,0.65,3900.32,3903.31,4079.86,4.657,4.662054,4.680577,-0.23925,0.084696,0.08951,0.701114,0.977619,1.08562,1.16839,1.192388,0.089554,0.089554,0.094998,0.338973,0.414368,0.819336,-8.442625,0.602924,-0.86959,8.464127,GBPRPgrizy/JHKsW1W2,0,0.038634658,0.077844,0.09738,0.057376,8.036412,1.846217,0.0016230913516514347,0.04055169628332497,0.008110478510598316
2749358275845462272,6.188680382826692,9.066991308220983,0.7125118098252698,6.281320242359981,-11.160853784678752,14094.07302287816,4.143393,15.314775,7360.563089310752,12.430448,15.671265,9678.279089683445,12.208921,14.783401,0.8878641,0.35648918,0.53137493,111.88338684870753,-53.23138821524102,6.1886803828,9.0669913082,0.817237,0.932935,0.995631,5951.39,5993.77,6197.79,4.341037,4.398557,4.439263,-0.903983,-0.317692,-0.169941,1.163158,1.220318,1.272418,1.36695,1.415777,0.286129,0.318874,0.36929,0.474476,0.517028,1.0,-8.483881,0.706769,-1.019282,8.513269,GBPRPgrizy/JHKsW1W2,0,0.0020444393,0.318107,0.38867,0.225426,4.47352,0.72462,0.00031918607392244917,0.0018335807754775255,0.0013696306851119125
2749358340269541376,6.178690253869751,9.07513145454835,1.4530439177570647,-4.762463825486658,-13.3285004574467,1537.2190094797702,1.5861914,17.720528,410.09240657654533,7.5804205,18.806337,1605.0804021718066,8.764593,16.734154,2.0721836,1.0858097,0.9863739,111.86950581143329,-53.2216656067924,6.1786902539,9.0751314546,0.576507,0.6,0.6,3837.59,3857.43,3927.15,4.647511,4.64862,4.684554,-0.094963,0.066222,0.090628,0.672335,0.735071,0.759852,0.7657,0.787744,0.137141,0.272001,0.284239,0.404649,0.516986,1.0,-8.369462,0.4222,-0.60861,8.380104,GBPRPgrizy/JHKsW1W2,0,-0.034027338,0.231271,0.290363,0.171276,8.08561,1.953097,0.0011203253649452651,0.020069469333557372,0.005928697442351192
2749358688162322560,6.141246644587719,9.060790407587703,0.5855692910189406,0.6838035031039046,0.9747134321318058,10154.100990544805,3.4520156,15.670763,5066.661576371636,11.822873,16.076738,7263.667899064365,14.829034,15.095006,0.98173237,0.40597534,0.575757,111.80452391834899,-53.229376563465536,6.1412466446,9.0607904076,0.900038,0.961335,0.985631,5744.22,5932.95,5963.53,4.281149,4.30757,4.393448,-0.285947,-0.170744,0.036706,1.39936,1.418048,1.596287,1.608905,1.741843,0.277835,0.341875,0.478075,0.491596,0.546056,1.0,-8.554934,0.887194,-1.278687,8.600814,GBPRPgrizy/JHKsW1W2,0,-0.0008478165,0.409755,0.5019,0.291392,4.245453,0.771225,0.0003691098169537027,0.002533526503065829,0.0022165687030330037
2749359134838920832,6.144207910245495,9.088814305771514,2.891075340315244,2.098453459719504,21.055181875205168,1878.8981984121297,1.792577,17.50261,465.03877853138727,7.6060643,18.669819,2060.365228240023,7.751193,16.463036,2.2067833,1.1672096,1.0395737,111.81746854011287,-53.20228767930247,6.1442079103,9.0888143058,0.38292,0.387134,0.4,3564.17,3568.16,3597.56,4.881492,4.884056,4.890091,-0.427433,-0.39797,-0.39797,0.34872,0.349919,0.350519,0.357865,0.359247,0.226504,0.253271,0.254679,0.292747,0.350631,1.0,-8.27803,0.194919,-0.28068,8.280325,GBPRPgrizy/JHKs,1,-0.019898653,0.20559,0.259109,0.153208,9.573463,2.100882,0.0010358548329335799,0.017758044680918704,0.004084591802162722
2749359134838921088,6.143531182560369,9.085602920429945,3.5434771412506594,22.58006174825398,-20.984947791868418,16625.751647774694,5.1458006,15.135413,5567.190988468902,12.445783,15.974452,15981.467014967086,18.268417,14.238853,1.7355986,0.83903885,0.8965597,111.81543826313602,-53.20533410222091,6.1435311826,9.0856029204,0.553628,0.554,0.579949,4172.54,4177.68,4232.53,4.676318,4.683,4.712586,-0.493043,-0.450804,-0.402261,0.272731,0.275116,0.280288,0.282547,0.284872,0.225047,0.23256,0.243242,0.362146,0.474527,1.0,-8.262386,0.155856,-0.224451,8.263856,GBPRPgrzy/JHKsW1W2,0,-0.0034354925,0.200053,0.249851,0.146953,7.697337,1.6327,0.000336043874704206,0.0024272270989198694,0.001241105219631547
2749359203558397952,6.182763154994289,9.093202254061248,2.057115960614145,2.3626357909830165,3.245907746111735,4996.092985883232,2.75824,16.44079,1603.454541372602,8.696992,17.325901,4891.478167254115,12.101501,15.524295,1.8016062,0.88511086,0.9164953,111.8813366244715,-53.20456195594943,6.182763155,9.0932022541,0.588,0.588,0.6,4052.67,4192.78,4208.24,4.679865,4.7042,4.718191,-0.338144,-0.29672,-0.110991,0.483157,0.487462,0.491659,0.5019,0.504908,0.10871,0.127211,0.376906,0.433029,0.434041,1.0,-8.30975,0.273268,-0.39371,8.314241,GBPRPgrizy/JHKsW1W2,0,-0.008150578,0.308869,0.386481,0.227408,7.673604,1.642533,0.0005994125852057409,0.00588893464510777,0.0026861079254678834
2749359272277874176,6.156930311496203,9.102100113820919,0.14559121338554842,3.932011599525659,-5.913083069281084,2297.736209744651,1.820958,17.284117,1176.003539191208,11.125838,17.662521,1589.5608168010149,8.296864,16.744703,0.91781807,0.37840462,0.53941345,111.8419693408703,-53.19138381305647,6.1569303115,9.1021001138,0.792266,0.832405,0.879949,5919.25,6163.52,6189.33,3.973001,4.289209,4.329958,-1.147466,-0.817968,-0.645318,2.591769,2.992549,3.396932,4.720279,7.285309,0.199469,0.374278,0.567459,0.579828,0.655315,0.998535,-8.957211,1.889148,-2.719724,9.154262,GBPRPgrizy/JHKs,0,-0.0058722496,0.487882,0.596788,0.346041,4.140801,0.667071,0.0008604469213791116,0.010271844451155452,0.005667103173011517
