,ID,Designation,GMAG,GMAG_Error,BP-RP,BP-RP_Error,Ratio_to_Sigma
0,123,Gaia DR3 3326710143670027648,2.527593,[0.003307],0.345422,[0.060567],0.9003975667404424
1,123,Gaia DR3 3326710143670027648,2.527593,[0.003307],0.345422,[0.060567],0.8934326891910573
2,209,Gaia DR3 3326715331990631936,1.167866,[0.003333],0.194945,[0.061409],0.7941885352939666
3,249,Gaia DR3 3326717462294179840,2.68117,[0.003058],0.49981,[0.030316],0.46497344161581006
4,434,Gaia DR3 3326738456092866560,3.276587,[0.00317],0.672407,[0.017624],0.32412415437234693
5,488,Gaia DR3 3326740139720070144,2.703486,[0.002949],0.484801,[0.036442],0.9427155984130394
6,565,Gaia DR3 3326743094657977472,1.676147,[0.003534],0.274794,[0.076086],0.7023029041760215
7,565,Gaia DR3 3326743094657977472,1.676147,[0.003534],0.274794,[0.076086],0.8008578365516502
8,565,Gaia DR3 3326743094657977472,1.676147,[0.003534],0.274794,[0.076086],0.3927350636309719
9,565,Gaia DR3 3326743094657977472,1.676147,[0.003534],0.274794,[0.076086],0.7612968209205307
10,652,Gaia DR3 3326903176680050816,2.132451,[0.003498],0.257095,[0.042664],0.3856895443895813
11,774,Gaia DR3 3326929878492391168,2.885771,[0.002958],0.581747,[0.021876],0.9962226672238634
12,906,Gaia DR3 3326934134802103296,1.941016,[0.003041],0.149754,[0.018498],0.32266274863132555
13,906,Gaia DR3 3326934134802103296,1.941016,[0.003041],0.149754,[0.018498],0.8915209564810261
14,918,Gaia DR3 3326934340961548416,2.808527,[0.003326],0.555773,[0.022426],0.9816149387860585
15,1041,Gaia DR3 3326937467697473920,2.690052,[0.00334],0.450843,[0.053792],0.7988463082623545
