,Designation,GMAG,GMAG_Error,GMAG_Sigma_Error,BP-RP,BP-RP_Error,BP-RP_Sigma_Error,Ratio-to-Sigma
0,2555264992887530240,2.110123,[0.00060806],[0.00121613],0.212501,[0.00034688],[0.00069375],1.1197896345399887
1,2747804455461270912,5.643498,[0.0014278],[0.00285559],0.908927,[0.0137979],[0.02759579],1.8799621704121303
2,2748234708105542272,5.635777,[0.00164311],[0.00328622],0.912135,[0.01414127],[0.02828255],1.9811811741204661
3,2748581814477869440,5.646689,[0.00171493],[0.00342985],0.910412,[0.01942591],[0.03885182],1.2429632330400655
4,2750018188980416896,3.278466,[0.00019728],[0.00039456],0.678381,[0.00021452],[0.00042904],1.9128345795366337
5,2750268087357612032,3.281273,[0.00022976],[0.00045953],0.676712,[0.0002716],[0.0005432],1.1804155034230737
6,2750427134291076864,5.684619,[0.00149245],[0.00298491],0.953425,[0.01166567],[0.02333134],1.5833193996765784
7,2750658139107646848,5.664942,[0.00052805],[0.00105611],0.940868,[0.00227153],[0.00454307],1.3715991706756812
8,2750815777291969280,5.660946,[0.00114913],[0.00229825],0.947474,[0.00530427],[0.01060854],1.925489036074269
9,2751227720490413184,2.453315,[0.00082803],[0.00165605],0.879966,[0.00868815],[0.01737629],1.6958752043796446
10,2751717862159569280,5.676576,[0.00151703],[0.00303405],0.935769,[0.01094927],[0.02189854],1.0332061060955224
11,2751969787760898048,2.866945,[0.000256],[0.000512],0.579149,[0.00035572],[0.00071144],0.4496175238577544
12,2752184226888636928,5.693227,[0.00168605],[0.0033721],0.93989,[0.01975169],[0.03950339],1.4086488123687115
13,2752446868431642624,5.637886,[0.00158332],[0.00316664],0.910976,[0.01647592],[0.03295184],1.6345800865264306
14,2752453229278894976,5.651949,[0.00169667],[0.00339334],0.912373,[0.01841895],[0.0368379],1.215650378334198
15,2752732397857614720,5.642742,[0.00148716],[0.00297431],0.951348,[0.01201747],[0.02403493],1.7425259972041816
16,2753829096282405888,5.688923,[0.00149689],[0.00299378],0.909129,[0.01737495],[0.03474989],1.5028592571988226
17,2754365005122004992,5.658289,[0.0008139],[0.0016278],0.937417,[0.00796658],[0.01593316],0.9033388963762645
18,2754855142493980800,5.679792,[0.00168662],[0.00337323],0.937899,[0.01864138],[0.03728276],0.7743554485986489
19,2754909259081969152,5.654787,[0.00152211],[0.00304423],0.918931,[0.01403601],[0.02807202],1.163918750021546
20,2755137171522082816,5.645687,[0.00151317],[0.00302634],0.919947,[0.01970815],[0.03941629],0.9461569995120468
21,2768044780901440384,5.635459,[0.00184655],[0.0036931],0.911979,[0.01595852],[0.03191704],1.7708135067731243
22,2775683229914170496,1.890092,[0.00025195],[0.0005039],0.506566,[6.3447306e-05],[0.00012689],0.7894453013718183
23,2775809708111086080,5.667748,[0.00065967],[0.00131934],0.941617,[0.00247666],[0.00495331],1.457083173855817
24,2775891754870712192,5.667115,[0.00076736],[0.00153471],0.935447,[0.00357905],[0.0071581],0.4033844282994952
25,2778904451090636544,5.658909,[0.00108702],[0.00217404],0.921057,[0.00757376],[0.01514753],1.962962696967281
26,2779980323218261632,5.685736,[0.0013241],[0.0026482],0.938229,[0.0144061],[0.02881219],1.4204764630419038
27,2779993036321957632,5.656348,[0.00133921],[0.00267843],0.920859,[0.01004666],[0.02009332],1.4594480583262432
28,2780102235865692928,5.672318,[0.00116099],[0.00232197],0.929325,[0.01058488],[0.02116976],0.6831703437803279
