Kilo-Seconds_B	rel_flux_T1_d(mag)	rel_flux_err_T1_d(mag)
0	0.001618412	0.002030534
0.027043	-0.002883844	0.00203783
0.054	0.003607107	0.002046988
0.081043	0.005629109	0.002049958
0.108	0.00302328	0.00206101
0.135043	0.002725777	0.002036677
0.162	0.000889367	0.00205023
0.189043	0.001407093	0.002056714
0.216	-0.001122618	0.00204579
0.243043	-0.003994021	0.002049395
0.27	-0.006759116	0.002053469
0.297043	-0.007523642	0.002045763
0.324	-0.00178227	0.002055067
0.350957	-0.002011284	0.002056347
0.378	0.005017495	0.002057117
0.405994	0.004855908	0.002047719
0.43295	0.005026628	0.002054831
0.459994	0.001481582	0.002059078
0.487037	0.002426811	0.002057467
0.513994	0.008030503	0.002045088
0.54095	0.002973867	0.002041584
0.567994	0.003060968	0.002050849
0.59495	0.006062537	0.00205855
0.621994	0.002596454	0.002062655
0.64895	-0.00633927	0.002045851
0.67703	-0.001598501	0.002063684
0.703987	-0.001395353	0.002072101
0.73103	0.002062217	0.002057748
0.757987	0.000063773	0.002046454
0.784944	0.006034553	0.002054536
0.811987	0.011234152	0.00206853
0.838944	0.006792685	0.00206069
0.865987	0.01009967	0.002059196
0.892944	0.007328887	0.002061983
0.919987	0.006638	0.00205159
0.946944	0.007377957	0.002066834
0.973987	0.008207555	0.002077276
1.000944	0.002865501	0.002057228
1.027987	0.000272976	0.002046378
1.054944	-0.007234807	0.002072753
1.081987	0.00278482	0.002071106
1.111968	0.000053169	0.002056582
1.139011	0.006653357	0.00207992
1.165968	0.000244612	0.002056535
1.193011	0.002109706	0.002061781
1.219968	0.00303041	0.002062178
1.247011	0.008957228	0.002048482
1.273968	0.002195413	0.002046176
1.300925	0.000924184	0.002062661
1.327968	0.001714797	0.002050039
1.354925	-0.000409367	0.002052208
1.381968	0.003661474	0.002066536
1.408925	-0.004943861	0.002067097
1.435968	-0.000740016	0.002061926
1.462925	-0.001776511	0.00206138
1.489968	-0.002701811	0.002059287
1.516925	-0.002662841	0.002069354
1.543968	0.00177066	0.002062403
1.570925	0.000123596	0.002065013
1.597968	0.002698429	0.002060935
1.624925	0.004042736	0.002069791
1.651968	0.001541944	0.002075368
1.678925	0.004742346	0.00206676
1.705968	0.002267939	0.002055688
1.732925	-0.002492298	0.002066853
1.759968	-0.004951408	0.002069673
1.786925	-0.006008895	0.002067146
1.813968	-0.008801196	0.002069922
1.840925	-0.011500421	0.002085292
1.867968	-0.008867446	0.002057582
1.894925	-0.009613484	0.002077925
1.921968	-0.005641087	0.002049079
1.948925	-0.002701774	0.002068358
1.975968	-0.001402598	0.002058027
2.002925	0.001088342	0.002070732
2.029968	-0.004257986	0.002068385
2.056925	-0.002782779	0.002059039
2.083968	-0.001399329	0.002068547
2.110925	-0.005756113	0.002068289
2.137968	-0.006902379	0.002081321
2.164925	-0.011466437	0.002086174
2.191968	-0.012614623	0.002070325
2.218925	-0.018458199	0.002075522
2.245968	-0.014447639	0.002048437
2.272925	-0.011250117	0.002076856
2.299968	-0.006607098	0.002070138
2.326925	-0.002103993	0.00205036
2.353882	-0.003315484	0.002058783
2.380925	-0.002422745	0.002055881
2.407882	0.002803397	0.002033517
2.434925	-0.00270162	0.00206333
2.461882	-0.004731011	0.002067309
2.488925	-0.002070985	0.002051696
2.515882	-0.004771719	0.002071642
2.542925	-0.007598092	0.002073132
2.569882	-0.008154973	0.002069614
2.596925	-0.002544611	0.002075105
2.623882	-0.010356648	0.002081448
2.650925	-0.006877822	0.00207089
2.677882	-0.000204423	0.002068993
2.704925	0.001060958	0.002068698
2.731882	0.003124722	0.002059571
2.758925	-0.002633267	0.002071295
2.785882	0.002706164	0.002083199
2.812925	0.001071884	0.002073794
2.839882	-0.000634924	0.002071163
2.866925	0.004326689	0.002069144
2.893882	-0.00347025	0.002072114
2.920925	-0.002942152	0.002064532
2.947882	-0.003864442	0.002079777
2.974925	-0.009747729	0.002074356
3.001882	-0.007571	0.002075685
3.028925	-0.004155664	0.00205589
3.055882	-0.002085324	0.002048742
3.082925	0.002808735	0.002060929
3.109882	-0.000065381	0.002061823
3.136925	-0.001100954	0.00206456
3.163882	0.003116769	0.002056667
3.190925	-0.000485191	0.002054254
3.217882	0.006411761	0.002073194
3.244838	0.007078394	0.002054791
3.271882	-0.000966083	0.002074833
3.298925	-0.004400732	0.002071453
3.325882	0.002063892	0.002047944
3.352925	-0.003265512	0.002076852
3.379882	-0.004771296	0.00205436
3.406838	-0.002385393	0.002059984
3.433882	0.001190154	0.002042647
3.460838	0.002354444	0.002049214
3.487882	0.004692508	0.002058861
3.514838	0.001535091	0.002054948
3.541882	0.003293728	0.00204573
3.568838	0.002918981	0.002053186
3.595882	0.007712994	0.00204159
3.622838	0.00261311	0.002041294
3.649882	0.002382603	0.002045149
3.676838	0.002098137	0.002043776
3.703882	-0.00277794	0.002051048
3.730838	-0.002876755	0.002047977
3.757882	-0.005784517	0.002048182
3.784838	-0.007325048	0.002047814
3.811882	-0.005093059	0.002046383
3.838838	0.004862175	0.002045096
3.865882	0.002609278	0.002047427
3.892838	0.004792626	0.002042738
3.919882	0.005572919	0.002037369
3.946838	0.004869064	0.002044758
3.973882	0.011524326	0.002037645
4.000838	0.008336721	0.002044376
4.027882	0.004370073	0.002043284
4.054838	0.004223376	0.00205562
4.081882	0.005340753	0.002050265
4.108838	-0.004819499	0.002062222
4.135882	-0.003010148	0.002058202
4.163875	-0.001772326	0.002061965
4.190832	-0.000194175	0.002049695
4.217875	-0.001575249	0.002045019
4.244832	0.007079336	0.002044145
4.271875	0.001631855	0.002059165
4.298832	0.001558645	0.002057378
4.325875	-0.002380133	0.002068273
4.352832	-0.000197065	0.00205016
4.379875	0.000908808	0.00206017
4.406832	0.00325983	0.002051794
4.434826	-0.000619483	0.002055863
4.461869	-0.003333858	0.002040962
4.488826	-0.003944737	0.002048891
4.515869	-0.005036814	0.002046992
4.542826	-0.003693375	0.002035143
4.569869	-0.005097956	0.002050607
4.596826	0.001477855	0.002066347
4.623869	0.000971852	0.002058027
4.650826	0.002352477	0.002049479
4.677869	0.001629505	0.002063595
4.704826	0.002500884	0.002054004
4.731782	0.001852874	0.002051958
4.758826	0.008970772	0.002054545
4.785782	0.007436908	0.002067474
4.812826	0.004261194	0.00205827
4.839782	0.000331082	0.002053089
4.866826	-0.001663947	0.002053576
4.893782	-0.005148599	0.00207233
4.920826	-0.006426457	0.002080214
4.947782	-0.007907997	0.002043364
4.974826	-0.000389801	0.002046066
5.001782	0.004044466	0.002065783
5.028826	-0.000093888	0.002067705
5.055782	0.002960231	0.002052623
5.082826	0.005842362	0.00205656
5.109782	0.011599122	0.002029869
5.136826	0.009504374	0.002033842
5.163782	0.010020268	0.002032934
5.190826	0.001225682	0.002042158
5.217782	0.005774053	0.00204766
5.244826	0.007467017	0.002033896
5.271782	-0.001056852	0.002055994
5.298826	0.002677645	0.002054335
