SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,bp_g,g_rp,l,b,RA_ICRS,DE_ICRS,mass16,mass50,mass84,teff16,teff50,teff84,logg16,logg50,logg84,met16,met50,met84,dist05,dist16,dist50,dist84,dist95,AV05,AV16,AV50,AV84,AV95,fidelity,XGal,YGal,ZGal,RGal,FlagPhoto,FlagOut,BP_RPCorr,AG50,ABP50,ARP50,GMAG0,BP-RP0,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
2748250414801269888,7.347986337254416,8.013681842119661,0.693753932453958,-1.4492663196814008,-7.7148223895363985,17217.923406868755,4.3805604,15.097415,9058.339269840524,13.617892,15.445921,11598.634944395635,13.579597,14.586879,0.85904217,0.34850597,0.5105362,113.5161194898608,-54.45452865917312,7.3479863373,8.0136818421,0.898021,0.916,0.941,5809.96,5922.01,5934.45,4.253984,4.259625,4.299,-0.295254,-0.294842,-0.178964,1.261946,1.325404,1.382274,1.391146,1.413753,0.076802,0.128738,0.229763,0.235523,0.277218,1.0,-8.520636,0.736844,-1.124693,8.552437,GBPRPgrzy/JHKsW1W2,0,-0.0047330856,0.198424,0.242105,0.140397,4.196021,0.757334,0.0002762315123002,0.0016322460690097,0.0012711720554459
2748251033276564864,7.362658139425433,8.035309606634032,0.6402318921491221,-5.003266696822104,-6.291220742521863,2584.5370714998903,1.9496254,17.15641,1155.849699104636,9.950964,17.68129,2004.085970472768,7.127721,16.493105,1.1881847,0.52487946,0.6633053,113.54629363431629,-54.4352680527366,7.3626581394,8.0353096066,0.651566,0.676929,0.774651,4924.0,4951.72,5018.63,4.578573,4.611329,4.616924,-0.478228,-0.422441,-0.046971,1.353844,1.366665,1.379501,1.56167,1.648029,0.137629,0.143627,0.153578,0.248132,0.26105,0.691895,-8.52053,0.735543,-1.122168,8.552219,GBPRPgrizy/JHKsW1W2,0,-0.012670875,0.129502,0.159793,0.093345,6.328298,1.121736,0.0008190166341199,0.0093473414987985,0.003861523247818
2748268556743062784,6.864707215902708,7.895544230705714,0.2807169653048403,10.506735036393133,-7.548210455176337,3341.326925579394,2.1260915,16.87757,1740.8568585104565,11.122338,17.236635,2238.738679288315,12.301208,16.372887,0.86374855,0.359066,0.50468254,112.67092085358776,-54.49777315086862,6.8647072159,7.8955442307,0.804248,0.830447,0.967212,5816.44,6078.67,6142.04,4.269799,4.348034,4.361535,-0.828444,-0.794609,-0.050248,2.482139,2.699775,2.877622,2.943754,3.837576,0.059795,0.12111,0.304419,0.326334,0.409729,1.0,-8.844118,1.542012,-2.342651,8.97754,GBPRPgrizy/JHKsW1W2,0,-0.0138447285,0.263345,0.321091,0.18605,4.319056,0.728707,0.0006908556229769,0.006936770998371,0.0059657996328961
2748279448780104064,6.6833480659951645,7.880292268358718,0.5715963727414266,-1.5219107235095626,-2.3503620637692855,2810.2344533437376,1.9053794,17.06551,1438.5621140502624,10.357449,17.44372,1945.129698813175,11.414285,16.525524,0.9181957,0.37821007,0.53998566,112.36147844439674,-54.483641823867224,6.683348066,7.8802922684,0.697148,0.762381,0.849137,5536.96,5561.44,5639.51,4.46539,4.542997,4.600757,-0.968852,-0.465581,-0.173742,1.66443,1.832167,1.962622,2.319407,2.481634,0.049977,0.145665,0.160869,0.194247,0.28587,0.995117,-8.633771,1.054419,-1.597475,8.697919,GBPRPgrizy/JHKsW1W2,0,-0.005445242,0.137905,0.168836,0.098149,5.463421,0.847509,0.0007361447767197,0.0078171507508037,0.0063712472049593
2748279685002792576,6.644061390243115,7.896586121104147,0.6630976863719812,3.2575919570786236,4.585251686775943,9795.308336400938,15.009712,15.709822,5173.1386295381435,16.429844,16.054157,7672.361406247533,15.513809,15.035573,1.0185843,0.34433556,0.6742487,112.30006632499791,-54.46113962010233,6.6440613902,7.8965861211,0.758,0.860759,0.931445,5352.45,5414.37,5552.39,3.567246,3.809069,4.557701,-1.024864,-0.641863,-0.398059,0.762247,0.884891,2.411359,2.937469,3.099415,0.171834,0.26877,0.384206,0.461913,0.466492,0.558594,-8.731853,1.296787,-1.962175,8.827621,GBPRPgrizy/JHKsW1W2,0,0.092819214,0.325772,0.401023,0.233648,3.47274,0.851209,0.0016637136289897,0.0034482888708429,0.0021954002731006
2748280062959911936,6.803464320317524,7.88974023986336,0.4022989291801973,-2.3774606158437135,-5.762150315754594,897.0556194099148,1.2388462,18.305319,383.2277467208252,6.9392962,18.8799,696.5456383143901,7.3647666,17.640522,1.239378,0.57458115,0.6647968,112.56622002959128,-54.49374336787466,6.8034643203,7.8897402399,0.614,0.677082,0.692055,4811.82,4861.83,4952.43,4.612654,4.627989,4.709899,-0.809857,-0.428844,-0.322727,1.414795,1.860858,2.179604,2.227698,2.29242,0.122006,0.158373,0.232338,0.328546,0.33043,0.855957,-8.685789,1.168975,-1.774311,8.764099,GBPRPgrizy/W1W2,0,-0.036988497,0.194947,0.241138,0.141017,6.418484,1.139257,0.0014994166735194,0.0196599678228712,0.0114797843743858
2748280372197564800,6.753044309474194,7.914344061952458,0.2115632266601785,1.7622963675319758,-2.0900779374075458,1556.81055866727,1.6840582,17.706778,837.0363252118509,8.122775,18.031681,1021.5178864994348,13.62257,17.224781,0.8069,0.3249035,0.48199654,112.48827662988955,-54.46136156587015,6.7530443095,7.914344062,0.659488,0.778361,0.887858,5676.23,5859.07,6242.81,4.20669,4.398772,4.608633,-1.930944,-0.758688,-0.412344,2.312354,2.542247,3.614536,5.087602,6.795806,-0.052157,0.035868,0.149272,0.346617,0.470354,0.98877,-9.003603,1.941195,-2.941234,9.210488,GBPRPgrizy/J,0,-0.0064150095,0.129028,0.157349,0.091254,4.787488,0.740804,0.0011744800527995,0.0105362105794678,0.0144789608556172
2748281609148156544,6.7465547032415625,7.951952262419196,0.3255788108160707,3.9066946747070994,-4.549210063972537,1147.8620120539674,1.3447497,18.037643,588.4629544413762,5.8815107,18.414244,775.5518587188634,9.438225,17.523869,0.89037514,0.37660027,0.5137749,112.48790567384734,-54.42320867668961,6.7465547032,7.9519522624,0.652469,0.72239,0.74675,5404.66,5623.5,5941.76,4.510599,4.536382,4.644397,-1.148855,-0.911597,-0.48425,2.300992,2.578257,3.185966,3.537904,3.901303,-0.003669,0.091295,0.164866,0.343779,0.352378,0.999023,-8.908971,1.712629,-2.591262,9.072092,GBPRPgrizy/,0,-0.018799305,0.141549,0.173172,0.100623,5.379889,0.817826,0.0012719677177772,0.010851607726514,0.0132130717638528
2748281647803358464,6.775062716688852,7.961653531822227,0.2830916574444317,2.015882297767648,-12.732898014428022,1166.273031645169,1.432984,18.020367,649.08834571085,7.3598633,18.307783,747.4895780407215,9.775226,17.563883,0.7439003,0.28741646,0.45648384,112.53849580634328,-54.41822461460458,6.7750627167,7.9616535318,0.76496,0.792937,0.82426,5715.23,6040.46,6216.87,4.016428,4.332181,4.526881,-1.596383,-0.810723,-0.477716,3.262977,3.996508,4.715829,6.90001,9.082247,-0.152513,-0.152013,0.087332,0.215972,0.366685,1.0,-9.251776,2.534394,-3.835317,9.592628,GBPRPgrizy/W1W2,0,0.0021009445,0.075997,0.092379,0.053483,4.57658,0.705004,0.0013340294780334,0.0123109128045919,0.0141986145333744
2748282025760479872,6.759200536082349,7.989120791893383,0.4785872284254352,3.1427983253617815,-3.8698873582920017,6366.48424807035,2.7924812,16.177618,3226.7692935959117,13.092278,16.566622,4481.918861063517,9.424991,15.619236,0.9473858,0.38900375,0.55838203,112.5195234484334,-54.38857229060787,6.7592005361,7.9891207919,0.837986,0.875963,0.949946,5468.07,5595.69,5656.19,4.344691,4.413879,4.489056,-0.265931,-0.081376,0.050735,1.475605,1.503474,1.764653,1.822897,2.261062,-0.022426,0.045882,0.176547,0.236883,0.455499,1.0,-8.593542,0.949181,-1.434635,8.645803,GBPRPgrizy/JHKsW1W2,0,-0.0012540817,0.151409,0.185335,0.10772,4.792913,0.86977,0.0004762279783382,0.0044052606245695,0.0022831858183433
